   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.001    0.001 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:118(TooHardError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:123(AxisError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:141(_ArrayMemoryError)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _exceptions.py:32(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:38(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:54(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:72(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:81(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:99(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:30(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:44(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:57(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:65(__new__)
        9    0.000    0.000    0.000    0.000 _globals.py:75(__repr__)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
      616    0.001    0.000    0.002    0.000 _inspect.py:13(ismethod)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       40    0.001    0.000    0.002    0.000 _inspect.py:140(formatargspec)
       15    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
       16    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      616    0.001    0.000    0.001    0.000 _inspect.py:26(isfunction)
      612    0.001    0.000    0.001    0.000 _inspect.py:41(iscode)
      612    0.008    0.000    0.009    0.000 _inspect.py:65(getargs)
      616    0.003    0.000    0.015    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.053    0.053 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:204(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:216(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:243(c_void_p)
        1    0.000    0.000    0.000    0.000 _internal.py:248(_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:524(_Stream)
       50    0.001    0.000    0.002    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
       78    0.000    0.000    0.000    0.000 _internal.py:792(<genexpr>)
       13    0.000    0.000    0.000    0.000 _internal.py:827(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 _internal.py:845(recursive)
        1    0.000    0.000    0.001    0.001 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:133(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:421(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:429(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:437(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        1    0.000    0.000    0.041    0.041 _pickle.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:17(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:45(PytestTester)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.003    0.003 _type_aliases.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:112(<genexpr>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:114(_add_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:153(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:186(_set_up_aliases)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:231(_add_array_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:239(_set_array_types)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:35(TypeNADict)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:62(<setcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:67(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_types)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:29(<dictcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:362(_unspecified)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:369(errstate)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:438(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:444(_setdef)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:14(deferred_error)
       26    0.000    0.000    0.000    0.000 _util.py:5(isPath)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
    31/17    0.000    0.000    0.001    0.000 abc.py:100(__subclasscheck__)
       73    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       49    0.000    0.000    0.007    0.000 abc.py:84(__new__)
       15    0.000    0.000    0.001    0.000 abc.py:89(register)
       54    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.656    0.656 animation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 animation.py:14(Animation)
       13    0.000    0.000    0.000    0.000 animation.py:15(__init__)
       13    0.020    0.002    0.774    0.060 animation.py:23(load_frames)
      130    0.003    0.000    0.021    0.000 animation.py:50(get_next_frame)
        1    0.000    0.000    0.000    0.000 animation.py:73(get_frame)
      130    0.000    0.000    0.000    0.000 animation.py:76(frame_count)
      131    0.002    0.000    0.017    0.000 animation.py:79(total_duration)
        1    0.000    0.000    0.000    0.000 animation.py:8(FrameData)
     6157    0.011    0.000    0.011    0.000 animation.py:80(<genexpr>)
      130    0.003    0.000    0.014    0.000 animation_player.py:109(draw_text)
        1    0.000    0.000    0.000    0.000 animation_player.py:11(AnimationPlayer)
        1    0.000    0.000    0.000    0.000 animation_player.py:12(__init__)
     3387    0.066    0.000    0.073    0.000 animation_player.py:128(is_done)
        1    0.000    0.000    0.784    0.784 animation_player.py:2(<module>)
        1    0.002    0.002    0.867    0.867 animation_player.py:31(load_animations)
        1    0.000    0.000    0.000    0.000 animation_player.py:45(start_animation)
     3258    0.054    0.000    0.054    0.000 animation_player.py:71(clear_animation)
      130    0.002    0.000    0.128    0.001 animation_player.py:85(update)
      130    0.002    0.000    0.113    0.001 animation_player.py:92(draw_frame)
        1    0.000    0.000    0.006    0.006 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
        1    0.000    0.000    0.001    0.001 arraypad.py:1(<module>)
        1    0.000    0.000    0.003    0.003 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1123(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1136(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1146(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1179(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1205(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1237(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1242(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1252(StructuredVoidFormat)
       15    0.003    0.000    0.003    0.000 arrayprint.py:1466(_guarded_repr_or_str)
       15    0.000    0.000    0.004    0.000 arrayprint.py:1473(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1546(set_string_function)
        2    0.000    0.000    0.000    0.000 arrayprint.py:448(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:458(decorating_function)
       15    0.000    0.000    0.004    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:834(FloatingFormat)
        1    0.000    0.000    0.004    0.004 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.011    0.011 base_comm.py:1(<module>)
        4    0.000    0.000    0.004    0.001 base_comm.py:13(init_serial)
   372184    2.000    0.000   15.651    0.000 base_comm.py:19(read_buffer)
        1    0.000    0.000    0.000    0.000 base_comm.py:4(BaseComm)
      105    0.002    0.000    0.059    0.001 base_comm.py:44(write_message)
      359    0.001    0.000    0.001    0.000 base_comm.py:47(printMsg)
        4    0.000    0.000    0.005    0.001 base_comm.py:5(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.005    0.005 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
        1    0.000    0.000    0.001    0.001 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1982(Chebyshev)
        3    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        3    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        7    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        3    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
        1    0.000    0.000    0.000    0.000 comm_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 comm_handler.py:1(CommHandler)
    93046    1.602    0.000   17.527    0.000 comm_handler.py:11(read_all)
    16817    0.214    0.000    0.533    0.000 comm_handler.py:18(write_all_queued)
        1    0.000    0.000    0.000    0.000 comm_handler.py:2(__init__)
    67268    0.217    0.000    0.319    0.000 comm_handler.py:22(write_queued)
      105    0.001    0.000    0.001    0.000 comm_handler.py:32(queue_message)
      210    0.001    0.000    0.005    0.000 comm_handler.py:35(printMsg)
        4    0.000    0.000    0.000    0.000 comm_handler.py:7(register_comm)
        1    0.000    0.000    0.000    0.000 composer.py:11(Composer)
     14/1    0.001    0.000    0.076    0.076 composer.py:117(compose_mapping_node)
        1    0.000    0.000    0.000    0.000 composer.py:13(__init__)
        1    0.000    0.000    0.000    0.000 composer.py:2(<module>)
        1    0.000    0.000    0.084    0.084 composer.py:29(get_single_node)
        1    0.000    0.000    0.076    0.076 composer.py:50(compose_document)
    159/1    0.002    0.000    0.076    0.076 composer.py:63(compose_node)
        1    0.000    0.000    0.000    0.000 composer.py:8(ComposerError)
      131    0.001    0.000    0.004    0.000 composer.py:88(compose_scalar_node)
     14/1    0.001    0.000    0.075    0.075 composer.py:99(compose_sequence_node)
        2    0.000    0.000    0.000    0.000 constants.py:1(<module>)
      131    0.000    0.000    0.000    0.000 constructor.py:117(construct_scalar)
       14    0.000    0.000    0.002    0.000 constructor.py:124(construct_sequence)
       14    0.000    0.000    0.001    0.000 constructor.py:129(<listcomp>)
       14    0.000    0.000    0.003    0.000 constructor.py:132(construct_mapping)
       25    0.000    0.000    0.000    0.000 constructor.py:159(add_constructor)
        1    0.000    0.000    0.000    0.000 constructor.py:16(ConstructorError)
        5    0.000    0.000    0.000    0.000 constructor.py:165(add_multi_constructor)
        1    0.000    0.000    0.008    0.008 constructor.py:171(SafeConstructor)
      131    0.001    0.000    0.001    0.000 constructor.py:173(construct_scalar)
       14    0.000    0.000    0.000    0.000 constructor.py:180(flatten_mapping)
        1    0.000    0.000    0.000    0.000 constructor.py:19(BaseConstructor)
        1    0.000    0.000    0.009    0.009 constructor.py:2(<module>)
       14    0.000    0.000    0.003    0.000 constructor.py:215(construct_mapping)
       39    0.000    0.000    0.001    0.000 constructor.py:237(construct_yaml_int)
        1    0.000    0.000    0.000    0.000 constructor.py:24(__init__)
       13    0.000    0.000    0.000    0.000 constructor.py:270(construct_yaml_float)
       79    0.000    0.000    0.001    0.000 constructor.py:402(construct_yaml_str)
       28    0.000    0.000    0.002    0.000 constructor.py:405(construct_yaml_seq)
       28    0.000    0.000    0.003    0.000 constructor.py:410(construct_yaml_map)
        1    0.000    0.000    0.089    0.089 constructor.py:47(get_single_data)
        1    0.000    0.000    0.000    0.000 constructor.py:482(FullConstructor)
        1    0.000    0.000    0.005    0.005 constructor.py:54(construct_document)
      159    0.001    0.000    0.003    0.000 constructor.py:67(construct_object)
        1    0.000    0.000    0.000    0.000 constructor.py:713(UnsafeConstructor)
        1    0.000    0.000    0.000    0.000 constructor.py:747(Constructor)
        2    0.000    0.000    0.000    0.000 contextlib.py:215(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.001    0.001 contextlib.py:76(inner)
731609/16817    4.667    0.000    9.120    0.001 copy.py:128(deepcopy)
   664341    0.381    0.000    0.381    0.000 copy.py:182(_deepcopy_atomic)
67268/16817    1.960    0.000    8.701    0.001 copy.py:226(_deepcopy_dict)
    67268    0.475    0.000    0.597    0.000 copy.py:242(_keep_alive)
     1195    0.010    0.000    0.021    0.000 copy.py:258(_reconstruct)
     1195    0.020    0.000    0.059    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
     1195    0.004    0.000    0.006    0.000 copyreg.py:94(__newobj__)
        1    0.001    0.001    0.012    0.012 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1126(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1147(__init__)
        4    0.000    0.000    0.002    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1284(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1316(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1330(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1363(getmask)
       44    0.000    0.000    0.003    0.000 core.py:138(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:155(MAError)
        1    0.000    0.000    0.000    0.000 core.py:163(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:198(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:201(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:202(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2383(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2389(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2555(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2600(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2819(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2949(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2975(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3124(view)
        4    0.000    0.000    0.000    0.000 core.py:3406(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3422(shape)
        1    0.000    0.000    0.000    0.000 core.py:6234(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6433(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6457(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6532(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6624(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6633(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6739(_frommethod)
       26    0.000    0.000    0.002    0.000 core.py:6750(__init__)
       26    0.000    0.000    0.002    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:798(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:807(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8081(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:8094(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8099(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:823(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:831(__init__)
        1    0.000    0.000    0.000    0.000 core.py:84(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:841(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:847(__init__)
        1    0.000    0.000    0.000    0.000 core.py:862(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:868(__init__)
        1    0.000    0.000    0.000    0.000 core.py:878(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:884(__init__)
        1    0.000    0.000    0.000    0.000 core.py:894(_MaskedUFunc)
       52    0.001    0.000    0.002    0.000 core.py:895(__init__)
        1    0.000    0.000    0.000    0.000 core.py:904(_MaskedUnaryOperation)
       26    0.000    0.000    0.001    0.000 core.py:922(__init__)
        1    0.000    0.000    0.000    0.000 core.py:978(_MaskedBinaryOperation)
       18    0.000    0.000    0.001    0.000 core.py:998(__init__)
       22    0.000    0.000    0.001    0.000 csv.py:107(__next__)
        1    0.000    0.000    0.000    0.000 csv.py:130(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
        1    0.000    0.000    0.002    0.002 csv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:23(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:54(excel)
        1    0.000    0.000    0.000    0.000 csv.py:64(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:69(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        2    0.000    0.000    0.000    0.000 csv.py:81(__init__)
        2    0.000    0.000    0.000    0.000 csv.py:90(__iter__)
       42    0.000    0.000    0.000    0.000 csv.py:93(fieldnames)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:185(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:206(_concrete_ndptr)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:365(_get_scalar_type_map)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:376(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cyaml.py:16(CBaseLoader)
        1    0.000    0.000    0.003    0.003 cyaml.py:2(<module>)
        1    0.000    0.000    0.000    0.000 cyaml.py:23(CSafeLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:30(CFullLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:37(CUnsafeLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:44(CLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:51(CBaseDumper)
        1    0.000    0.000    0.000    0.000 cyaml.py:68(CSafeDumper)
        1    0.000    0.000    0.000    0.000 cyaml.py:85(CDumper)
        1    0.000    0.000    0.003    0.003 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1145(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(IsoCalendarDate)
        1    0.000    0.000    0.000    0.000 datetime.py:1245(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1270(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1594(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2236(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:383(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:415(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:428(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:445(_check_tzinfo_arg)
        3    0.000    0.000    0.000    0.000 datetime.py:45(_days_before_year)
        1    0.000    0.000    0.000    0.000 datetime.py:473(timedelta)
       12    0.000    0.000    0.001    0.000 datetime.py:492(__new__)
        5    0.000    0.000    0.000    0.000 datetime.py:50(_days_in_month)
        2    0.000    0.000    0.000    0.000 datetime.py:665(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
        2    0.000    0.000    0.000    0.000 datetime.py:823(__new__)
        1    0.000    0.000    0.006    0.006 decimal.py:2(<module>)
        1    0.001    0.001    0.021    0.021 defchararray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.028    0.028 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.006    0.006 drop_target.py:1(<module>)
        1    0.000    0.000    0.000    0.000 drop_target.py:14(reset_state_group)
        1    0.000    0.000    0.000    0.000 drop_target.py:7(DropTargetGroup)
        1    0.000    0.000    0.013    0.013 drop_targets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 drop_targets.py:27(init_multiball)
        1    0.000    0.000    0.007    0.007 dumper.py:2(<module>)
        1    0.000    0.000    0.000    0.000 dumper.py:27(SafeDumper)
        1    0.000    0.000    0.000    0.000 dumper.py:45(Dumper)
        1    0.000    0.000    0.000    0.000 dumper.py:9(BaseDumper)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:14(EmitterError)
        1    0.000    0.000    0.000    0.000 emitter.py:17(ScalarAnalysis)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
        1    0.000    0.000    0.000    0.000 emitter.py:9(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:1011(<lambda>)
       44    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        4    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        4    0.002    0.000    0.004    0.001 enum.py:179(__new__)
        4    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       54    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        4    0.001    0.000    0.001    0.000 enum.py:221(<setcomp>)
       12    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
       54    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       90    0.000    0.000    0.006    0.000 enum.py:334(__call__)
        4    0.000    0.000    0.000    0.000 enum.py:391(__getattr__)
        1    0.000    0.000    0.000    0.000 enum.py:410(__iter__)
       10    0.000    0.000    0.000    0.000 enum.py:414(<genexpr>)
        3    0.000    0.000    0.000    0.000 enum.py:419(__members__)
       70    0.001    0.000    0.001    0.000 enum.py:438(__setattr__)
       54    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        3    0.000    0.000    0.005    0.002 enum.py:451(_create_)
        3    0.000    0.000    0.006    0.002 enum.py:504(_convert_)
        3    0.000    0.000    0.001    0.000 enum.py:521(<listcomp>)
       40    0.000    0.000    0.000    0.000 enum.py:527(<lambda>)
        4    0.000    0.000    0.000    0.000 enum.py:537(_check_for_existing_members)
       11    0.000    0.000    0.000    0.000 enum.py:547(_get_mixins_)
       11    0.000    0.000    0.000    0.000 enum.py:558(_find_data_type)
        4    0.000    0.000    0.000    0.000 enum.py:594(_find_new_)
       87    0.000    0.000    0.000    0.000 enum.py:646(__new__)
       28    0.000    0.000    0.000    0.000 enum.py:763(value)
        4    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       54    0.001    0.000    0.002    0.000 enum.py:88(__setitem__)
        1    0.000    0.000    0.000    0.000 enum.py:899(_missing_)
        1    0.000    0.000    0.000    0.000 enum.py:909(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 enum.py:942(__or__)
       40    0.001    0.000    0.001    0.000 enum.py:948(__and__)
        1    0.000    0.000    0.000    0.000 enum.py:988(_decompose)
        1    0.000    0.000    0.000    0.000 error.py:17(VerificationError)
        2    0.000    0.000    0.001    0.000 error.py:2(<module>)
        1    0.000    0.000    0.000    0.000 error.py:2(FFIError)
        1    0.000    0.000    0.000    0.000 error.py:22(VerificationMissing)
        1    0.000    0.000    0.000    0.000 error.py:28(PkgConfigError)
        1    0.000    0.000    0.000    0.000 error.py:4(Mark)
        1    0.000    0.000    0.000    0.000 error.py:45(YAMLError)
        1    0.000    0.000    0.000    0.000 error.py:48(MarkedYAMLError)
        1    0.000    0.000    0.000    0.000 error.py:5(CDefError)
      606    0.002    0.000    0.002    0.000 error.py:6(__init__)
        1    0.000    0.000    0.000    0.000 events.py:15(NodeEvent)
        1    0.000    0.000    0.000    0.000 events.py:21(CollectionStartEvent)
       28    0.000    0.000    0.000    0.000 events.py:22(__init__)
        1    0.000    0.000    0.000    0.000 events.py:31(CollectionEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:36(StreamStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:37(__init__)
        1    0.000    0.000    0.001    0.001 events.py:4(<module>)
        1    0.000    0.000    0.000    0.000 events.py:4(Event)
        1    0.000    0.000    0.000    0.000 events.py:42(StreamEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:45(DocumentStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:46(__init__)
       29    0.000    0.000    0.000    0.000 events.py:5(__init__)
        1    0.000    0.000    0.000    0.000 events.py:54(DocumentEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:55(__init__)
        1    0.000    0.000    0.000    0.000 events.py:61(AliasEvent)
        1    0.000    0.000    0.000    0.000 events.py:64(ScalarEvent)
      131    0.000    0.000    0.000    0.000 events.py:65(__init__)
        1    0.000    0.000    0.000    0.000 events.py:75(SequenceStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:78(SequenceEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:81(MappingStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:84(MappingEndEvent)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1472(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1502(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1520(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:215(_fromnxfunction)
